Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,12301,2022-10-27,0.1259388914,0.0241758835,0.0262857913,21,100
Market-Adjusted Model,12302,2022-10-27,0.1326278885,0.0289603678,0.0329747884,21,100
Market-Adjusted Model,12303,2022-10-27,0.1022662634,0.0036014025,0.0026131633,21,100
Market-Adjusted Model,12304,2022-10-27,0.1179257553,0.0165431868,0.0182726552,21,100
Market-Adjusted Model,12305,2022-10-27,0.1069771244,0.0064636431,0.0073240243,21,100
Market-Adjusted Model,12307,2022-10-27,-0.258064511,-0.225873748,-0.357717612,21,100
Market-Adjusted Model,12308,2022-10-27,0.2182429835,0.1056378461,0.1185898834,21,100
Market-Adjusted Model,12310,2022-10-27,0.1619004338,0.0953312465,0.0622473336,21,100
Market-Adjusted Model,12313,2022-10-27,0.1033362318,0.0033357562,0.0036831317,21,100
Market-Adjusted Model,12314,2022-10-27,0.080904293,-0.015627914,-0.018748807,21,100
Market-Adjusted Model,12315,2022-10-27,0.1299350845,0.0260616777,0.0302819844,21,100
Market-Adjusted Model,12316,2022-10-27,0.1036669286,0.0034462027,0.0040138285,21,100
Market-Adjusted Model,12317,2022-10-27,0.0866006313,-0.010578372,-0.013052469,21,100
Market-Adjusted Model,12318,2022-10-27,0.1080521524,0.0084436826,0.0083990523,21,100
Market-Adjusted Model,12321,2022-10-27,0.1265195379,0.0245019656,0.0268664378,21,100
Market-Adjusted Model,12325,2022-10-27,0.1192198676,0.0363891368,0.0195667675,21,100
Market-Adjusted Model,12326,2022-10-27,0.054942305,-0.043074992,-0.044710795,21,100
Market-Adjusted Model,12329,2022-10-27,0.2480213143,0.1270288262,0.1483682142,21,100
Market-Adjusted Model,12331,2022-10-27,0.0638552713,-0.035618078,-0.035797829,21,100
Market-Adjusted Model,12332,2022-10-27,0.3249370826,0.2297311462,0.2252839825,21,100
Market-Adjusted Model,12333,2022-10-27,0.1884357245,0.0864919846,0.0887826244,21,100
Market-Adjusted Model,12334,2022-10-27,0.0317615783,-0.060265211,-0.067891522,21,100
Market-Adjusted Model,12338,2022-10-27,0.1208459516,0.0193409483,0.0211928515,21,100
Market-Adjusted Model,12339,2022-10-27,0.2860823833,0.2061480712,0.1864292832,21,100
Market-Adjusted Model,12341,2022-10-27,0.0761375026,-0.024985636,-0.023515597,21,100
Market-Adjusted Model,12345,2022-10-27,0.0871422448,-0.00595164,-0.012510855,21,100
Market-Adjusted Model,12350,2022-10-27,0.3333333824,0.4301965497,0.2336802823,21,100
Market-Adjusted Model,12355,2022-10-27,0.2926281463,0.1638922134,0.1929750462,21,100
Market-Adjusted Model,12358,2022-10-27,-0.226890788,-0.33193099,-0.326543888,21,100
Market-Adjusted Model,12360,2022-10-27,0.5631826546,0.4188744654,0.4635295545,21,100
Market-Adjusted Model,12363,2022-10-27,0.1756756679,0.0753350423,0.0760225678,21,100
Market-Adjusted Model,12366,2022-10-27,0.1804391959,0.0705794469,0.0807860958,21,100
Market-Adjusted Model,12367,2022-10-27,-0.291428565,-0.372562005,-0.391081665,21,100
Market-Adjusted Model,12368,2022-10-27,0.080199157,-0.020895078,-0.019453943,21,100
Market-Adjusted Model,12369,2022-10-27,0.2341615092,0.1159701184,0.134508409,21,100
Market-Adjusted Model,12370,2022-10-27,0.1656143644,0.0688976119,0.0659612643,21,100
Market-Adjusted Model,12372,2022-10-27,0.1040582719,0.0080223181,0.0044051717,21,100
Market-Adjusted Model,12373,2022-10-27,0.23902893,0.1239669789,0.1393758298,21,100
Market-Adjusted Model,12376,2022-10-27,0.13739374,0.0341427251,0.0377406398,21,100
Market-Adjusted Model,12377,2022-10-27,0.0558781059,-0.009259553,-0.043774994,21,100
Market-Adjusted Model,12380,2022-10-27,0.0623676418,-0.03263977,-0.037285458,21,100
Market-Adjusted Model,12385,2022-10-27,0.1061151347,0.0047916497,0.0064620345,21,100
Market-Adjusted Model,12391,2022-10-27,0.0862988589,-0.008834284,-0.013354241,21,100
Market-Adjusted Model,12397,2022-10-27,-0.154929522,-0.261163754,-0.254582622,21,100
Market-Adjusted Model,12400,2022-10-27,0.0089566816,-0.084389511,-0.090696419,21,100
Market-Adjusted Model,12411,2022-10-27,0.2462311567,0.135981258,0.1465780566,21,100
Market-Adjusted Model,12412,2022-10-27,0.0979968281,-0.002070764,-0.001656272,21,100
Market-Adjusted Model,12431,2022-10-27,0.2191875087,0.1067216418,0.1195344086,21,100
Market-Adjusted Model,12437,2022-10-27,0.0144788208,-0.084596814,-0.085174279,21,100
Market-Adjusted Model,12442,2022-10-27,-0.340260797,-0.446853016,-0.439913897,21,100
Market-Adjusted Model,12443,2022-10-27,0.3369478407,0.2499853149,0.2372947406,21,100
Market-Adjusted Model,12447,2022-10-27,0.1313610185,0.0481616726,0.0317079184,21,100
Market-Adjusted Model,12448,2022-10-27,-0.021285089,-0.091589139,-0.120938189,21,100
Market-Adjusted Model,12449,2022-10-27,0.1497105827,0.0489031005,0.0500574825,21,100
Market-Adjusted Model,12452,2022-10-27,0.1675901067,0.0645488474,0.0679370066,21,100
Market-Adjusted Model,12453,2022-10-27,0.0056771574,-0.093535081,-0.093975943,21,100
Market-Adjusted Model,12457,2022-10-27,0.1380177385,0.034056196,0.0383646383,21,100
Market-Adjusted Model,12461,2022-10-27,0.1661890233,0.0585486117,0.0665359232,21,100
Market-Adjusted Model,12462,2022-10-27,0.1434645076,0.0383333476,0.0438114075,21,100
Market-Adjusted Model,12472,2022-10-27,0.0600138358,-0.036692865,-0.039639264,21,100
Market-Adjusted Model,12473,2022-10-27,0.078543676,-0.013257988,-0.021109424,21,100
Market-Adjusted Model,12476,2022-10-27,0.1098563723,0.0130440869,0.0102032722,21,100
Market-Adjusted Model,12477,2022-10-27,-0.014516743,-0.099837929,-0.114169843,21,100
Market-Adjusted Model,12480,2022-10-27,0.293772428,0.1648385033,0.1941193279,21,100
Market-Adjusted Model,12487,2022-10-27,-0.006454691,-0.101569926,-0.106107791,21,100
Market-Adjusted Model,12488,2022-10-27,-0.057142895,-0.147784202,-0.156795995,21,100
Market-Adjusted Model,12490,2022-10-27,0.215668221,0.0997215296,0.1160151208,21,100
Market-Adjusted Model,12495,2022-10-27,0.4373877572,0.3152535399,0.337734657,21,100
Market-Adjusted Model,12497,2022-10-27,-0.191616729,-0.301971145,-0.291269829,21,100
Market-Adjusted Model,12500,2022-10-27,0.18387445,0.08641737,0.0842213499,21,100
Market-Adjusted Model,12502,2022-10-27,0.024573361,-0.064912738,-0.075079739,21,100
Market-Adjusted Model,12505,2022-10-27,0.1055951016,0.0045803855,0.0059420015,21,100
Market-Adjusted Model,12508,2022-10-27,0.1254125537,0.0223218878,0.0257594536,21,100
Market-Adjusted Model,12510,2022-10-27,-0.094501175,-0.19088025,-0.194154275,21,100
Market-Adjusted Model,12513,2022-10-27,0.1495029995,0.0454888585,0.0498498993,21,100
Market-Adjusted Model,12514,2022-10-27,0.0209604704,-0.076412795,-0.07869263,21,100
Market-Adjusted Model,12515,2022-10-27,0.0928355179,-0.002053534,-0.006817582,21,100
Market-Adjusted Model,12516,2022-10-27,0.0737769864,-0.02701922,-0.025876114,21,100
Market-Adjusted Model,12523,2022-10-27,0.0879186635,-0.01282653,-0.011734437,21,100
Market-Adjusted Model,12527,2022-10-27,-0.325102914,-0.460144204,-0.424756014,21,100
Market-Adjusted Model,12528,2022-10-27,-0.01206849,-0.110906349,-0.111721591,21,100
Market-Adjusted Model,12530,2022-10-27,-0.111050258,-0.214920647,-0.210703358,21,100
Market-Adjusted Model,12531,2022-10-27,-0.204688392,-0.322119432,-0.304341492,21,100
Market-Adjusted Model,12533,2022-10-27,0.0875929653,-0.010055243,-0.012060135,21,100
Market-Adjusted Model,12534,2022-10-27,0.0853837019,-0.011261618,-0.014269398,21,100
Market-Adjusted Model,12535,2022-10-27,0.1086178889,0.0082066752,0.0089647888,21,100
Market-Adjusted Model,12536,2022-10-27,0.1365934928,0.0344302138,0.0369403927,21,100
Market-Adjusted Model,12537,2022-10-27,-0.007162978,-0.10599368,-0.106816078,21,100
Market-Adjusted Model,12540,2022-10-27,-0.017200845,-0.107018064,-0.116853945,21,100
Market-Adjusted Model,12543,2022-10-27,0.0418674499,-0.057471252,-0.05778565,21,100
Market-Adjusted Model,12552,2022-10-27,0.0958700967,-0.006056248,-0.003783003,21,100
Market-Adjusted Model,12558,2022-10-27,0.0841182768,-0.013477887,-0.015534823,21,100
Market-Adjusted Model,12564,2022-10-27,0.0418133588,-0.055883053,-0.057839741,21,100
Market-Adjusted Model,12565,2022-10-27,0.0580315437,-0.041555839,-0.041621556,21,100
Market-Adjusted Model,12566,2022-10-27,0.1851851452,0.0815211675,0.0855320451,21,100
Market-Adjusted Model,12569,2022-10-27,0.113636338,0.014491877,0.0139832379,21,100
Market-Adjusted Model,12570,2022-10-27,0.2043316004,0.094997503,0.1046785003,21,100
Market-Adjusted Model,12573,2022-10-27,-0.496066752,-0.705598703,-0.595719852,21,100
Market-Adjusted Model,12577,2022-10-27,-6.459143E-9,-0.067364162,-0.099653107,21,100
Market-Adjusted Model,12578,2022-10-27,0.1306984655,0.0274483356,0.0310453654,21,100
Market-Adjusted Model,12579,2022-10-27,0.0343136979,-0.012090547,-0.065339402,21,100
Market-Adjusted Model,12583,2022-10-27,-0.063449494,-0.157285758,-0.163102595,21,100
Market-Adjusted Model,12591,2022-10-27,0.3298137619,0.1939407019,0.2301606618,21,100
Market-Adjusted Model,12592,2022-10-27,-0.131710511,-0.209246547,-0.231363611,21,100
